Case;event;time;case Spend area text
22;2;24.02.2018-07:42:00;10
22;3;24.05.2018-13:32:00;10
23;0;04.12.2018-15:59:00;10
24;0;21.02.2018-10:46:00;10
24;21;21.02.2018-12:01:00;10
24;1;26.02.2018-13:54:00;10
24;2;27.02.2018-14:08:00;10
24;3;26.04.2018-11:14:00;10
25;0;15.03.2018-15:22:00;9
25;2;12.04.2018-15:16:00;9
25;3;09.05.2018-14:11:00;9
26;0;20.12.2018-14:33:00;10
27;24;14.12.2018-17:57:00;4
27;0;02.01.2019-13:12:00;4
27;24;02.01.2019-13:12:00;4
27;24;02.01.2019-14:06:00;4
27;2;02.01.2019-17:46:00;4
28;0;13.08.2018-09:39:00;7
28;2;13.09.2018-16:42:00;7
28;3;04.10.2018-16:49:00;7
29;0;30.03.2018-08:07:00;7
29;1;05.04.2018-17:36:00;7
29;2;13.04.2018-11:32:00;7
29;3;24.05.2018-13:34:00;7
30;0;15.11.2018-09:39:00;13
30;21;16.11.2018-10:32:00;13
30;1;26.11.2018-12:08:00;13
30;2;05.12.2018-16:41:00;13
31;0;17.08.2018-14:35:00;9
31;17;27.11.2018-14:42:00;9
31;2;28.12.2018-15:26:00;9
31;3;03.01.2019-16:11:00;9
32;0;26.07.2018-08:49:00;7
32;2;06.08.2018-16:48:00;7
32;3;09.08.2018-14:28:00;7
33;0;30.08.2018-09:49:00;10
33;21;30.08.2018-10:03:00;10
33;1;03.09.2018-15:57:00;10
33;2;14.09.2018-13:05:00;10
33;3;07.12.2018-09:06:00;10
34;0;18.12.2018-11:39:00;10
34;1;14.01.2019-11:22:00;10
35;0;03.08.2018-10:37:00;7
35;1;06.08.2018-17:43:00;7
35;2;05.09.2018-09:30:00;7
35;3;28.09.2018-10:28:00;7
36;0;06.11.2018-11:18:00;14
37;0;08.01.2018-11:50:00;9
37;17;02.03.2018-14:31:00;9
37;1;02.03.2018-15:23:00;9
37;1;02.03.2018-15:23:00;9
37;1;02.03.2018-15:24:00;9
37;1;02.03.2018-15:24:00;9
37;2;23.03.2018-13:13:00;9
37;3;26.04.2018-11:11:00;9
38;0;10.12.2018-09:42:00;7
39;0;11.06.2018-14:57:00;11
39;1;06.07.2018-11:01:00;11
40;0;10.08.2018-08:08:00;7
40;1;29.08.2018-07:40:00;7
40;2;02.10.2018-15:10:00;7
40;3;04.10.2018-16:50:00;7
41;28;22.10.2018-00:00:00;10
41;0;22.10.2018-20:23:00;10
41;17;23.10.2018-14:38:00;10
41;17;26.10.2018-10:59:00;10
41;1;31.10.2018-11:01:00;10
41;2;02.11.2018-16:45:00;10
42;0;30.05.2018-10:34:00;10
42;14;04.06.2018-10:22:00;10
42;1;20.06.2018-15:54:00;10
42;2;22.06.2018-17:43:00;10
42;3;04.10.2018-16:48:00;10
43;0;14.05.2018-17:58:00;16
43;1;25.06.2018-14:46:00;16
43;2;25.06.2018-14:49:00;16
43;3;30.08.2018-15:35:00;16
44;0;29.08.2018-09:52:00;11
44;21;29.08.2018-12:59:00;11
44;1;12.09.2018-11:15:00;11
44;2;27.09.2018-10:53:00;11
44;3;07.12.2018-09:06:00;11
45;28;28.09.2018-00:00:00;4
45;0;28.09.2018-07:49:00;4
45;1;02.10.2018-07:18:00;4
45;2;15.10.2018-14:24:00;4
45;3;08.11.2018-16:45:00;4
46;0;27.03.2018-07:43:00;9
46;1;03.04.2018-10:37:00;9
46;2;17.04.2018-13:24:00;9
46;9;29.05.2018-17:15:00;9
46;3;31.05.2018-12:33:00;9
47;0;11.06.2018-10:18:00;10
47;21;11.06.2018-10:45:00;10
47;1;12.06.2018-08:29:00;10
47;2;13.06.2018-13:18:00;10
47;3;30.08.2018-15:38:00;10
48;0;29.11.2018-10:24:00;7
48;17;14.12.2018-08:47:00;7
48;2;09.01.2019-09:29:00;7
48;17;14.01.2019-10:53:00;7
48;17;14.01.2019-11:36:00;7
48;17;14.01.2019-11:36:00;7
49;0;30.05.2018-09:03:00;7
49;1;01.06.2018-17:37:00;7
49;1;01.06.2018-17:37:00;7
49;2;23.06.2018-14:27:00;7
49;3;26.07.2018-18:07:00;7
50;0;05.02.2018-08:01:00;7
50;14;05.02.2018-12:56:00;7
50;1;06.02.2018-17:32:00;7
50;2;22.03.2018-09:07:00;7
50;3;05.04.2018-15:50:00;7
51;0;15.02.2018-16:35:00;10
51;1;07.03.2018-10:26:00;10
51;2;17.03.2018-10:39:00;10
51;3;28.03.2018-12:39:00;10
51;7;28.03.2018-12:39:00;10
51;2;28.03.2018-12:40:00;10
51;9;28.03.2018-17:00:00;10
51;3;09.05.2018-14:11:00;10
52;28;07.09.2018-00:00:00;7
52;0;07.09.2018-08:04:00;7
52;1;13.09.2018-08:32:00;7
52;2;08.10.2018-16:04:00;7
52;9;19.11.2018-06:03:00;7
52;3;22.11.2018-14:53:00;7
53;28;08.11.2018-00:00:00;0
53;0;08.11.2018-07:57:00;0
53;1;09.11.2018-17:34:00;0
53;2;14.11.2018-13:29:00;0
53;3;07.12.2018-09:04:00;0
54;0;17.07.2018-14:57:00;10
54;1;07.08.2018-11:23:00;10
55;0;01.11.2018-11:41:00;7
56;28;12.12.2018-00:00:00;7
56;0;12.12.2018-09:05:00;7
56;2;24.12.2018-07:30:00;7
56;1;02.01.2019-10:50:00;7
56;3;10.01.2019-15:45:00;7
57;0;04.04.2018-08:26:00;7
57;1;19.04.2018-18:47:00;7
57;2;30.04.2018-12:24:00;7
57;3;24.05.2018-13:35:00;7
58;0;09.01.2018-16:59:00;10
58;1;22.01.2018-21:01:00;10
59;0;05.01.2018-08:35:00;16
59;1;18.01.2018-10:25:00;16
60;0;23.10.2018-14:42:00;10
60;2;15.11.2018-14:54:00;10
61;0;13.11.2018-17:23:00;10
61;1;27.11.2018-09:44:00;10
61;2;28.11.2018-18:01:00;10
62;0;22.03.2018-10:31:00;7
62;2;03.04.2018-11:58:00;7
62;3;26.04.2018-11:15:00;7
63;0;06.08.2018-14:53:00;9
63;14;06.08.2018-15:14:00;9
63;1;07.08.2018-08:20:00;9
63;3;04.10.2018-16:49:00;9
64;0;29.01.2018-12:01:00;9
64;2;06.02.2018-10:51:00;9
64;3;22.02.2018-16:17:00;9
65;0;25.06.2018-11:28:00;10
65;1;03.07.2018-09:53:00;10
65;2;18.07.2018-15:47:00;10
65;3;09.08.2018-14:29:00;10
66;0;30.01.2018-11:41:00;10
66;1;15.02.2018-12:01:00;10
66;2;16.02.2018-09:08:00;10
66;3;07.06.2018-13:10:00;10
67;0;16.05.2018-09:28:00;9
67;2;24.05.2018-17:00:00;9
67;3;01.06.2018-11:41:00;9
68;0;01.03.2018-16:06:00;10
68;14;13.03.2018-10:28:00;10
68;1;14.03.2018-15:42:00;10
68;2;15.03.2018-14:51:00;10
68;3;28.06.2018-14:04:00;10
69;28;13.09.2018-00:00:00;9
69;0;13.09.2018-11:33:00;9
69;2;19.09.2018-13:29:00;9
69;1;20.09.2018-11:04:00;9
69;3;27.09.2018-10:27:00;9
70;0;13.09.2018-16:38:00;10
70;1;26.10.2018-20:55:00;10
71;0;22.05.2018-12:04:00;11
71;1;31.05.2018-14:23:00;11
72;28;21.12.2018-00:00:00;7
72;0;21.12.2018-08:42:00;7
73;0;30.07.2018-11:33:00;11
73;1;30.08.2018-15:02:00;11
73;2;03.10.2018-12:23:00;11
73;3;26.10.2018-11:01:00;11
74;0;23.02.2018-09:39:00;10
74;21;23.02.2018-11:00:00;10
74;1;27.02.2018-13:24:00;10
74;2;01.03.2018-15:03:00;10
74;3;26.04.2018-11:14:00;10
75;0;25.01.2018-15:24:00;9
75;2;09.02.2018-15:30:00;9
75;3;05.04.2018-15:50:00;9
76;28;30.11.2018-00:00:00;7
76;0;30.11.2018-07:20:00;7
76;1;04.12.2018-17:32:00;7
77;0;12.06.2018-09:18:00;7
77;1;14.06.2018-17:37:00;7
77;2;29.06.2018-10:10:00;7
77;3;05.07.2018-14:12:00;7
78;28;30.11.2018-00:00:00;7
78;0;30.11.2018-07:50:00;7
78;1;03.12.2018-17:37:00;7
78;3;07.12.2018-09:09:00;7
79;0;20.07.2018-10:38:00;10
79;1;06.08.2018-16:59:00;10
79;2;09.08.2018-14:11:00;10
79;9;13.12.2018-08:03:00;10
79;3;13.12.2018-14:08:00;10
80;0;16.04.2018-11:14:00;10
80;21;16.04.2018-12:34:00;10
80;1;24.04.2018-17:28:00;10
80;2;26.04.2018-11:41:00;10
80;3;05.07.2018-14:12:00;10
81;0;31.10.2018-10:03:00;6
81;1;20.11.2018-06:21:00;6
81;2;20.11.2018-09:43:00;6
81;3;07.12.2018-09:07:00;6
82;0;27.11.2018-09:53:00;7
82;17;20.12.2018-10:49:00;7
82;1;20.12.2018-15:13:00;7
82;1;20.12.2018-15:52:00;7
83;28;27.09.2018-00:00:00;10
83;21;28.09.2018-11:54:00;10
83;1;05.10.2018-16:23:00;10
83;2;11.10.2018-12:26:00;10
83;3;29.11.2018-16:15:00;10
84;0;19.04.2018-14:19:00;7
84;1;09.05.2018-12:19:00;7
84;1;09.05.2018-12:22:00;7
84;1;09.05.2018-12:26:00;7
84;1;09.05.2018-12:28:00;7
84;2;25.05.2018-14:26:00;7
84;3;28.06.2018-14:03:00;7
85;0;05.04.2018-11:12:00;4
85;24;05.04.2018-13:45:00;4
85;2;06.04.2018-11:31:00;4
86;0;25.06.2018-19:25:00;9
86;14;03.08.2018-11:16:00;9
86;2;30.11.2018-13:12:00;9
86;3;07.12.2018-16:19:00;9
87;0;15.11.2018-12:13:00;10
87;1;19.11.2018-11:20:00;10
87;2;21.11.2018-15:51:00;10
88;0;13.04.2018-12:50:00;10
88;1;27.04.2018-22:04:00;10
89;0;30.01.2018-16:48:00;10
89;1;07.02.2018-09:55:00;10
89;2;15.02.2018-12:39:00;10
89;3;29.03.2018-15:07:00;10
90;0;09.04.2018-19:42:00;10
90;21;10.04.2018-09:30:00;10
90;15;10.04.2018-11:18:00;10
91;0;17.07.2018-09:11:00;7
91;2;19.07.2018-11:03:00;7
91;1;20.07.2018-17:42:00;7
91;3;26.07.2018-18:06:00;7
92;0;14.06.2018-12:11:00;7
92;14;06.08.2018-17:02:00;7
92;9;06.08.2018-17:42:00;7
92;3;30.08.2018-15:39:00;7
93;0;13.04.2018-15:45:00;11
93;1;11.05.2018-09:38:00;11
93;2;16.05.2018-14:09:00;11
93;3;09.08.2018-14:28:00;11
94;0;02.03.2018-14:59:00;9
94;1;06.03.2018-10:41:00;9
94;2;17.04.2018-15:53:00;9
94;3;09.05.2018-14:12:00;9
95;0;28.03.2018-07:52:00;7
95;1;30.03.2018-07:10:00;7
95;2;30.03.2018-10:29:00;7
95;3;19.04.2018-14:46:00;7
96;0;31.05.2018-12:54:00;5
96;1;31.05.2018-12:55:00;5
97;0;26.02.2018-07:35:00;7
97;1;01.03.2018-09:10:00;7
97;2;07.03.2018-15:55:00;7
97;3;29.03.2018-15:06:00;7
98;21;24.05.2018-11:59:00;10
98;1;30.05.2018-11:01:00;10
98;2;31.05.2018-16:46:00;10
98;3;30.08.2018-15:38:00;10
99;0;08.05.2018-11:30:00;10
99;1;16.05.2018-15:09:00;10
99;2;23.05.2018-13:48:00;10
99;3;05.07.2018-14:11:00;10
100;0;15.06.2018-14:40:00;10
100;1;11.07.2018-12:34:00;10
100;2;11.07.2018-16:26:00;10
100;9;24.09.2018-16:10:00;10
100;3;28.09.2018-10:26:00;10
101;0;25.01.2018-08:59:00;7
101;1;29.01.2018-09:29:00;7
101;3;08.03.2018-13:22:00;7
102;0;05.09.2018-16:26:00;2
102;1;11.09.2018-10:55:00;2
102;2;09.10.2018-12:58:00;2
102;3;08.11.2018-16:44:00;2
103;28;10.10.2018-00:00:00;4
103;0;10.10.2018-09:48:00;4
103;1;25.10.2018-13:45:00;4
103;2;30.10.2018-14:40:00;4
103;3;07.12.2018-09:06:00;4
104;0;04.04.2018-08:26:00;7
104;1;19.04.2018-18:47:00;7
104;2;30.04.2018-12:24:00;7
104;3;24.05.2018-13:35:00;7
105;28;16.09.2018-00:00:00;7
105;0;17.09.2018-08:31:00;7
105;1;19.09.2018-07:32:00;7
105;2;13.11.2018-17:47:00;7
105;3;15.11.2018-15:35:00;7
106;0;30.01.2018-09:06:00;7
106;1;02.02.2018-12:51:00;7
106;2;19.03.2018-14:50:00;7
106;3;26.04.2018-11:13:00;7
107;0;26.04.2018-14:47:00;10
107;1;15.05.2018-16:31:00;10
107;2;18.05.2018-14:04:00;10
107;3;06.09.2018-14:06:00;10
108;0;12.04.2018-16:09:00;10
108;2;31.05.2018-14:30:00;10
108;1;01.06.2018-13:47:00;10
108;6;01.06.2018-13:49:00;10
108;1;01.06.2018-13:50:00;10
108;3;30.08.2018-15:40:00;10
109;21;16.01.2018-10:17:00;10
109;1;19.01.2018-12:31:00;10
109;2;24.01.2018-13:26:00;10
109;3;26.04.2018-11:13:00;10
110;0;26.05.2018-09:30:00;9
110;24;29.05.2018-09:51:00;9
110;14;01.08.2018-12:59:00;9
110;15;16.11.2018-16:42:00;9
111;1;14.06.2018-10:01:00;9
111;2;01.08.2018-12:12:00;9
111;3;28.09.2018-10:28:00;9
112;0;22.01.2018-10:19:00;7
112;2;10.07.2018-09:31:00;7
112;3;10.07.2018-15:00:00;7
113;0;16.02.2018-11:41:00;7
113;2;13.03.2018-11:24:00;7
113;3;05.04.2018-15:51:00;7
114;0;16.08.2018-13:13:00;10
114;17;08.10.2018-15:47:00;10
114;1;09.10.2018-07:14:00;10
114;2;01.11.2018-12:22:00;10
114;9;14.11.2018-11:22:00;10
114;3;10.01.2019-15:43:00;10
115;0;10.07.2018-15:02:00;16
115;1;16.07.2018-06:48:00;16
116;0;19.03.2018-18:16:00;10
116;14;19.03.2018-18:22:00;10
116;14;20.03.2018-14:35:00;10
116;1;05.04.2018-12:38:00;10
116;2;25.05.2018-11:23:00;10
116;3;26.07.2018-18:06:00;10
117;0;20.09.2018-10:34:00;10
117;1;11.10.2018-19:41:00;10
117;2;18.10.2018-12:11:00;10
118;0;21.11.2018-11:18:00;11
118;1;22.11.2018-08:21:00;11
118;2;23.11.2018-10:39:00;11
118;3;11.12.2018-12:05:00;11
119;0;16.03.2018-07:45:00;9
119;1;21.03.2018-17:50:00;9
119;2;17.04.2018-12:59:00;9
119;3;09.05.2018-14:10:00;9
120;28;19.09.2018-00:00:00;7
120;0;19.09.2018-08:02:00;7
120;1;21.09.2018-07:49:00;7
120;2;21.09.2018-17:10:00;7
120;3;11.10.2018-13:46:00;7
121;0;03.07.2018-11:00:00;10
121;21;03.07.2018-11:15:00;10
121;1;12.07.2018-13:41:00;10
121;2;08.08.2018-12:06:00;10
121;9;27.09.2018-10:37:00;10
121;3;28.09.2018-10:27:00;10
122;0;05.03.2018-09:31:00;7
122;1;15.03.2018-17:17:00;7
122;2;04.05.2018-16:55:00;7
122;3;24.05.2018-13:33:00;7
123;0;15.08.2018-11:16:00;10
123;1;31.08.2018-07:16:00;10
123;2;31.08.2018-09:02:00;10
123;3;29.11.2018-16:14:00;10
124;0;22.05.2018-10:57:00;10
124;1;30.05.2018-21:58:00;10
124;2;01.06.2018-13:10:00;10
124;3;19.07.2018-13:16:00;10
125;0;06.02.2018-09:45:00;10
125;1;15.02.2018-17:27:00;10
125;3;24.05.2018-13:34:00;10
126;0;05.02.2018-11:11:00;16
126;21;05.02.2018-11:16:00;16
126;1;14.02.2018-11:11:00;16
126;9;17.02.2018-05:56:00;16
126;3;26.04.2018-11:14:00;16
127;0;11.07.2018-16:48:00;10
127;1;28.08.2018-19:46:00;10
128;0;08.11.2018-20:45:00;10
128;2;29.11.2018-12:25:00;10
128;9;06.12.2018-13:19:00;10
129;0;16.08.2018-11:00:00;4
129;2;26.09.2018-15:54:00;4
129;3;26.10.2018-11:04:00;4
130;28;01.10.2018-00:00:00;7
130;0;01.10.2018-09:57:00;7
131;1;31.05.2018-10:51:00;10
131;2;08.06.2018-13:51:00;10
131;3;30.08.2018-15:36:00;10
132;0;06.11.2018-14:00:00;10
132;17;20.11.2018-15:10:00;10
132;1;23.11.2018-08:24:00;10
132;2;26.11.2018-14:57:00;10
133;0;09.07.2018-10:52:00;10
133;1;31.07.2018-12:12:00;10
134;0;31.07.2018-08:12:00;10
134;14;02.08.2018-08:43:00;10
134;2;21.09.2018-15:14:00;10
134;3;29.11.2018-16:13:00;10
135;0;28.06.2018-10:29:00;10
135;21;28.06.2018-13:00:00;10
135;1;04.07.2018-13:58:00;10
135;2;07.07.2018-07:32:00;10
135;9;27.09.2018-10:37:00;10
135;3;28.09.2018-10:27:00;10
136;0;10.12.2018-23:47:00;10
137;0;11.06.2018-13:41:00;10
137;1;04.07.2018-15:55:00;10
137;2;07.07.2018-08:26:00;10
137;3;06.09.2018-14:06:00;10
138;0;20.11.2018-09:38:00;8
138;24;20.11.2018-12:54:00;8
138;2;21.11.2018-11:19:00;8
138;24;10.01.2019-09:17:00;8
138;24;10.01.2019-09:44:00;8
139;0;08.05.2018-08:29:00;4
139;1;11.05.2018-07:25:00;4
139;2;18.06.2018-17:56:00;4
139;3;05.07.2018-14:12:00;4
140;0;10.05.2018-15:25:00;10
140;1;22.06.2018-08:06:00;10
140;2;24.10.2018-16:10:00;10
140;3;26.10.2018-11:03:00;10
141;0;08.01.2018-16:55:00;9
141;14;26.02.2018-07:28:00;9
141;14;26.02.2018-12:45:00;9
141;2;18.07.2018-10:13:00;9
141;3;19.07.2018-13:16:00;9
142;0;18.10.2018-17:20:00;11
142;1;13.12.2018-13:08:00;11
142;2;28.12.2018-16:15:00;11
143;28;04.09.2018-00:00:00;7
143;0;04.09.2018-09:08:00;7
143;1;10.09.2018-07:35:00;7
143;2;10.10.2018-14:16:00;7
143;3;01.11.2018-16:26:00;7
144;21;10.08.2018-11:21:00;10
144;1;15.08.2018-09:50:00;10
144;2;16.08.2018-14:38:00;10
144;3;29.11.2018-16:15:00;10
145;0;23.08.2018-11:38:00;10
145;1;04.09.2018-12:34:00;10
145;2;05.09.2018-09:42:00;10
145;3;04.10.2018-16:48:00;10
146;0;12.02.2018-07:33:00;7
146;1;13.02.2018-17:38:00;7
146;2;16.02.2018-09:58:00;7
146;3;29.03.2018-15:06:00;7
147;21;27.08.2018-08:03:00;10
147;1;31.08.2018-14:08:00;10
147;2;14.09.2018-11:41:00;10
147;3;08.11.2018-16:44:00;10
148;0;08.02.2018-09:23:00;7
148;1;13.02.2018-07:43:00;7
148;2;13.02.2018-15:21:00;7
148;3;01.03.2018-14:06:00;7
149;28;22.10.2018-00:00:00;7
149;0;22.10.2018-08:17:00;7
149;1;23.10.2018-17:46:00;7
149;2;24.10.2018-12:35:00;7
149;3;15.11.2018-15:34:00;7
150;0;30.08.2018-08:26:00;7
150;1;05.09.2018-10:26:00;7
150;2;02.10.2018-10:16:00;7
150;3;26.10.2018-11:01:00;7
151;2;24.04.2018-16:18:00;5
151;3;07.06.2018-13:13:00;5
152;0;21.12.2018-08:18:00;9
152;1;07.01.2019-08:12:00;9
153;0;06.03.2018-10:18:00;10
153;2;22.03.2018-11:14:00;10
153;1;22.03.2018-16:30:00;10
153;3;05.07.2018-14:10:00;10
154;0;10.09.2018-10:47:00;9
154;17;02.11.2018-07:08:00;9
154;14;05.11.2018-14:36:00;9
154;1;06.11.2018-09:04:00;9
154;2;12.12.2018-13:52:00;9
154;9;14.12.2018-16:22:00;9
155;0;16.08.2018-13:49:00;10
155;2;16.10.2018-08:56:00;10
156;0;15.05.2018-11:49:00;10
156;1;23.05.2018-09:54:00;10
156;2;29.05.2018-17:10:00;10
156;3;30.08.2018-15:39:00;10
157;0;20.08.2018-13:10:00;10
157;1;03.09.2018-13:59:00;10
157;2;11.09.2018-09:02:00;10
157;3;07.12.2018-09:04:00;10
158;0;11.01.2018-10:02:00;11
158;1;22.01.2018-09:53:00;11
159;0;25.07.2018-14:35:00;10
159;1;06.08.2018-15:32:00;10
159;2;05.09.2018-12:13:00;10
159;3;28.09.2018-10:26:00;10
160;0;21.08.2018-16:11:00;0
160;1;21.08.2018-16:12:00;0
161;0;17.07.2018-09:44:00;10
161;1;01.08.2018-14:32:00;10
161;2;06.08.2018-17:44:00;10
161;9;07.08.2018-16:57:00;10
161;3;08.11.2018-16:43:00;10
162;0;20.09.2018-11:45:00;9
162;2;18.10.2018-06:19:00;9
162;3;01.11.2018-16:26:00;9
163;0;27.06.2018-14:17:00;6
163;2;26.07.2018-12:44:00;6
163;1;31.07.2018-14:14:00;6
163;3;04.10.2018-16:48:00;6
164;0;27.08.2018-17:00:00;10
164;1;12.09.2018-13:01:00;10
164;2;18.09.2018-14:04:00;10
164;9;13.12.2018-08:03:00;10
165;0;08.05.2018-08:37:00;7
165;1;18.05.2018-10:40:00;7
165;2;12.07.2018-17:10:00;7
165;3;26.07.2018-18:07:00;7
166;0;22.10.2018-13:11:00;10
166;1;08.11.2018-13:50:00;10
166;2;11.12.2018-13:29:00;10
166;9;14.12.2018-16:22:00;10
167;0;28.06.2018-10:28:00;10
167;21;28.06.2018-11:03:00;10
167;1;09.07.2018-16:34:00;10
167;2;21.07.2018-08:03:00;10
167;3;04.10.2018-16:49:00;10
168;0;01.11.2018-15:54:00;16
168;21;02.11.2018-16:37:00;16
168;1;27.11.2018-12:44:00;16
168;2;05.12.2018-14:03:00;16
168;3;10.12.2018-11:18:00;16
169;28;20.11.2018-00:00:00;10
169;0;20.11.2018-10:55:00;10
169;1;28.11.2018-12:18:00;10
169;2;05.12.2018-10:28:00;10
170;1;28.02.2018-08:50:00;5
170;0;28.02.2018-08:50:00;5
170;2;09.03.2018-16:41:00;5
170;3;29.03.2018-15:11:00;5
171;0;31.01.2018-11:11:00;10
171;21;31.01.2018-11:33:00;10
171;15;01.02.2018-11:56:00;10
172;0;22.02.2018-11:12:00;11
172;1;12.03.2018-13:40:00;11
172;2;20.12.2018-14:16:00;11
173;28;23.10.2018-00:00:00;7
173;0;23.10.2018-10:31:00;7
173;1;31.10.2018-13:12:00;7
173;2;30.11.2018-12:37:00;7
174;28;13.09.2018-00:00:00;16
174;0;13.09.2018-15:05:00;16
174;1;04.10.2018-09:09:00;16
175;28;30.10.2018-00:00:00;10
175;0;31.10.2018-10:03:00;10
175;21;31.10.2018-11:19:00;10
175;1;02.11.2018-07:23:00;10
175;2;10.12.2018-14:30:00;10
175;3;10.01.2019-15:45:00;10
176;0;08.03.2018-11:11:00;11
176;17;13.03.2018-10:04:00;11
176;2;01.05.2018-15:45:00;11
176;1;02.05.2018-13:20:00;11
176;3;28.06.2018-14:04:00;11
177;0;30.11.2018-13:36:00;10
177;1;13.12.2018-11:50:00;10
177;2;17.12.2018-15:21:00;10
178;0;16.10.2018-11:02:00;11
178;17;10.01.2019-13:10:00;11
178;17;10.01.2019-14:39:00;11
178;1;17.01.2019-15:20:00;11
179;0;19.01.2018-17:29:00;10
179;2;20.02.2018-09:50:00;10
179;9;07.03.2018-16:09:00;10
179;3;26.04.2018-11:14:00;10
180;0;05.07.2018-12:22:00;10
180;1;19.07.2018-15:36:00;10
180;2;23.07.2018-16:06:00;10
180;9;24.07.2018-18:06:00;10
180;3;08.11.2018-16:43:00;10
181;0;05.06.2018-12:20:00;11
181;1;18.06.2018-11:16:00;11
181;2;20.06.2018-17:24:00;11
181;3;30.08.2018-15:38:00;11
182;0;02.10.2018-10:05:00;10
182;1;10.10.2018-11:56:00;10
182;2;31.10.2018-09:26:00;10
183;0;21.02.2018-12:30:00;10
183;1;28.02.2018-17:08:00;10
183;2;14.01.2019-16:56:00;10
183;9;14.01.2019-16:57:00;10
183;3;17.01.2019-14:40:00;10
184;28;28.10.2018-00:00:00;13
184;0;30.10.2018-09:26:00;13
184;1;06.11.2018-08:39:00;13
184;2;13.12.2018-07:06:00;13
184;9;21.12.2018-10:35:00;13
184;3;10.01.2019-15:42:00;13
185;0;16.04.2018-07:32:00;7
185;1;18.04.2018-10:42:00;7
185;1;19.04.2018-18:46:00;7
185;1;30.04.2018-08:05:00;7
185;1;16.05.2018-08:54:00;7
185;2;23.05.2018-16:45:00;7
185;2;28.05.2018-13:09:00;7
185;2;28.05.2018-13:33:00;7
185;3;07.06.2018-13:12:00;7
185;2;07.07.2018-09:45:00;7
185;7;27.07.2018-14:10:00;7
185;3;27.07.2018-14:13:00;7
185;2;27.07.2018-14:25:00;7
185;3;02.08.2018-16:07:00;7
186;0;08.02.2018-10:23:00;6
186;14;23.02.2018-11:57:00;6
